title,author,publish_year
Begin Smart,Begin Smart Books,2008
The Graveyard Book,Neil Gaiman,2008
"After (After Series, Book 1)",Anna Todd,2014
Michelle Obama in Her Own Words,"Michelle Obama, Carlton Books Staff",2008
Shatter Me,Tahereh Mafi,2011
The Blade Itself,Joe Abercrombie,2001
March. Book One,"John Lewis, Andrew Aydin, Nate Powell",2013
The Book of Life,Deborah Harkness,2014
Charlotte's Web,Jennifer Frantz,2006
BTS,Triumph Books,2005
Demon Slayer Coloring Book,sara coloring,2021
Book Lovers,Emily Henry,2022
Inside the Minds,Aspatore Books,2001
Amulet,Kazu Kibuishi,2008
Yellowface,R. F. Kuang,2023
Read People Like a Book,Patrick King,2020
The Book with No Pictures,B. J. Novak,2001
